,Makanan,Karbohidrat,Protein,Sayur,Pengolahan,Kelas
566,Telur Bacem,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus,27
567,Opor Telur,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus,27
568,Telur Balado,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus,27
569,Tahu Teriyaki,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus,27
570,Pepes Telur Asin,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus,27
571,Chawanmushi,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus,27
572,Mun Tahu,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus,27
573,Telur Bumbu Bali,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus,27
574,Pepes Tahu,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus,27
575,Sate Telur Puyuh,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus,27
576,Telur Pindang,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus,27
577,Semur Telur,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus,27
578,Semur Telur Puyuh,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus,27
579,Sambal Tumpang,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus,27
580,Telur Puyuh Balado,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus,27
581,Semur Tahu,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus,27
582,Butterscotch Pudding,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus,27
583,Puding Lumut,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus,27
584,Puding Telor Ceplok,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus,27
585,Keripik Tempe,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis,25
586,Keripik Tahu,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis,25
587,Bola Bola Tahu,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis,25
588,Sambal Tempe,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis,25
589,Tahu Cabe Garam,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis,25
590,Tahu Petis,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis,25
591,Telur Petis,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis,25
592,Omelet Telur,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis,25
593,Egg Roll Korea,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis,25
594,Tahu Bulat,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis,25
595,Telur Kecap,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis,25
596,Tempe Penyet,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis,25
597,Tahu Fantasi,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis,25
598,Sayur Tempe Tahu Cabe Hijau,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis,25
599,Oseng Tempe Cabe Ijo,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis,25
600,Oseng Tahu Tempe Kecap,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis,25
601,Tahu Tauco,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis,25
602,Tempe Mendol,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis,25
603,Kering Kentang Tempe Pedas,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis,25
604,Kering Tempe (Orek Tempe),Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis,25
605,Sambal Tahu Goreng,Tidak ada,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis,25
606,Okonomiyaki,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Ya,Goreng atau tumis,109
607,Tahu Isi,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Ya,Goreng atau tumis,109
608,Bakwan Tahu,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Ya,Goreng atau tumis,109
609,Sandwich Homemade,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Ya,Goreng atau tumis,109
610,Jalangkote,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Ya,Goreng atau tumis,109
611,Risoles Ragout Sayur,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Ya,Goreng atau tumis,109
612,Sayur Tahu Kuah Kuning,Tidak ada,"Tahu, tempe, dan telur",Ya,Rebus atau kukus,31
613,Tahu Kukus,Tidak ada,"Tahu, tempe, dan telur",Ya,Rebus atau kukus,31
614,Ketoprak,Tidak ada,"Tahu, tempe, dan telur",Ya,Rebus atau kukus,31
615,Miso Soup,Tidak ada,"Tahu, tempe, dan telur",Ya,Rebus atau kukus,31
616,Sup Tahu,Tidak ada,"Tahu, tempe, dan telur",Ya,Rebus atau kukus,31
617,Nasi Telur Pontianak,Beras dan olahannya,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis,65
618,Nasi Goreng Telur,Beras dan olahannya,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis,65
619,Nasi Goreng Kampung,Beras dan olahannya,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis,65
620,Papeda Gulung,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
621,Telur Geprek,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
622,Tahu Walik,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
623,Omelet Mie,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
624,Perkedel Tahu,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
625,Tempe Mendoan Purwokerto,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
626,Tahu Rambutan,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
627,Perkedel Tempe,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
628,Tahu Putih Goreng Garing,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
629,Tahu Aci Tegal,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
630,Nugget Tahu,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
631,Martabak Mie,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
632,Papeda Cilung,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
633,Donat Mie,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
634,Donat Crispy,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
635,Pizza Goreng Lipat,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
636,Bomboloni,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
637,Odading / Bolang Baling / Kue Bantal,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
638,Stik Keju Mozarella,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
639,Donat Ubi Ungu,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
640,Donat Pisang,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
641,Kue Akar Kelapa,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
642,Nugget Pisang,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
643,Kue Tambang,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
644,Churros,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
645,Kuping Gajah,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
646,Kue Telur Gabus,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
647,Donat Jadul,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
648,Bitterballen,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
649,Kue Garpu,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
650,Kue Tusuk Gigi,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
651,Bihun Gulung,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
652,Kacang Telur,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
653,Gandasturi,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
654,Martabak Mesir,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
655,Biji Ketapang,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
656,Cheese Stick (Stik Keju),"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
657,Onde-Onde Ketawa,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
658,Risoles Mayo,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
659,Lumpia Semarang,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
660,Makaroni Telur (Maklor),"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
661,Martabak Telur,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
662,Pisang Molen,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
663,Rempeyek Teri,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis,105
664,Pempek Dos (Tanpa Ikan),"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus,107
665,Tahu Bakso,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus,107
666,Laksa Bogor,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus,107
667,Bubur Kacang Hijau Madura,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus,107
668,Dessert Box Coklat,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus,107
669,Bolu Kukus Ubi,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus,107
670,Rainbow Cake Kukus,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus,107
671,Pretzel,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus,107
672,Tokyo Banana,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus,107
673,Kue Talam Labu Kuning,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus,107
674,Kue Talam Jagung,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus,107
675,Bolu Kukus Pelangi,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus,107
676,Kue Ku,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus,107
677,Cheese Cake Kukus (Tanpa Oven),"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus,107
678,Putu Ayu,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus,107
679,Kue Ketan Hitam Kukus,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus,107
680,Brownies Kukus Lumer ala Amanda,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus,107
681,Bolu Kukus Gula Merah,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus,107
682,Bolu Kukus Pandan,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus,107
683,Kue Lumpur Surga,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus,107
684,Brudel Keju Kukus,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus,107
685,Kue Tart Ulang Tahun,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus,107
686,Kue Sakura (Bolu),"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus,107
687,Kembang Tahu Wedang (Tahok),"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus,107
688,Orak Arik Telur Sayuran,Tidak ada,"Tahu, tempe, dan telur",Ya,Goreng atau tumis,29
689,Tahu Jeletot,Tidak ada,"Tahu, tempe, dan telur",Ya,Goreng atau tumis,29
690,Fuyunghai,Tidak ada,"Tahu, tempe, dan telur",Ya,Goreng atau tumis,29
691,Martabak Tahu,Tidak ada,"Tahu, tempe, dan telur",Ya,Goreng atau tumis,29
692,Telur Dadar Padang,Tidak ada,"Tahu, tempe, dan telur",Ya,Goreng atau tumis,29
693,Tumis Buncis Tempe,Tidak ada,"Tahu, tempe, dan telur",Ya,Goreng atau tumis,29
694,Oseng Pare Telur,Tidak ada,"Tahu, tempe, dan telur",Ya,Goreng atau tumis,29
695,Tumis Telur Tauge,Tidak ada,"Tahu, tempe, dan telur",Ya,Goreng atau tumis,29
696,Oseng Tempe Toge,Tidak ada,"Tahu, tempe, dan telur",Ya,Goreng atau tumis,29
697,Oseng Tempe Pare,Tidak ada,"Tahu, tempe, dan telur",Ya,Goreng atau tumis,29
698,Tempe Balado,Tidak ada,"Tahu, tempe, dan telur",Ya,Goreng atau tumis,29
699,Tahu Tek Surabaya,Lainnya,"Tahu, tempe, dan telur",Ya,Lainnya,148
700,Sapo Tahu,Tidak ada,"Tahu, tempe, dan telur",Ya,Lainnya,28
701,Tahu Telur,Tidak ada,"Tahu, tempe, dan telur",Ya,Lainnya,28
702,Pecel Madiun,Tidak ada,"Tahu, tempe, dan telur",Ya,Lainnya,28
703,Ratatouille,Tidak ada,"Tahu, tempe, dan telur",Ya,Lainnya,28
704,Tahu Gejrot,Tidak ada,"Tahu, tempe, dan telur",Tidak,Lainnya,24
705,Bacem Tahu Tempe,Tidak ada,"Tahu, tempe, dan telur",Tidak,Lainnya,24
706,Tahu Sarang Burung,Tidak ada,"Tahu, tempe, dan telur",Tidak,Lainnya,24
707,Rendang Telur,Tidak ada,"Tahu, tempe, dan telur",Tidak,Lainnya,24
708,Tahu Bubuk,Tidak ada,"Tahu, tempe, dan telur",Tidak,Lainnya,24
709,Sambal Oncom,Tidak ada,"Tahu, tempe, dan telur",Tidak,Lainnya,24
710,Kacang Sembunyi,Tidak ada,"Tahu, tempe, dan telur",Tidak,Lainnya,24
711,Tahu Guling,Beras dan olahannya,"Tahu, tempe, dan telur",Ya,Lainnya,68
712,Lontong Tahu Khas Blora,Beras dan olahannya,"Tahu, tempe, dan telur",Ya,Lainnya,68
713,Gado Gado Padang,Beras dan olahannya,"Tahu, tempe, dan telur",Ya,Lainnya,68
714,Nasi Lengko,Beras dan olahannya,"Tahu, tempe, dan telur",Ya,Lainnya,68
715,Lontong Balap,Beras dan olahannya,"Tahu, tempe, dan telur",Ya,Lainnya,68
716,Tahu Gimbal Udang,Tidak ada,Lainnya,Ya,Lainnya,36
717,Buntil Daun Pepaya,Tidak ada,Lainnya,Ya,Lainnya,36
718,Sambal Pencok Kacang Panjang,Tidak ada,Lainnya,Ya,Lainnya,36
719,Salad Sayur,Tidak ada,Tidak ada,Ya,Lainnya,4
720,Coleslaw,Tidak ada,Tidak ada,Ya,Lainnya,4
721,Asinan Betawi,Tidak ada,Tidak ada,Ya,Lainnya,4
722,Beberuk Terong,Tidak ada,Tidak ada,Ya,Lainnya,4
723,Kimchi,Tidak ada,Tidak ada,Ya,Lainnya,4
724,Acar Timun,Tidak ada,Tidak ada,Ya,Lainnya,4
725,Karedok,Tidak ada,Tidak ada,Ya,Lainnya,4
726,Pecel Terong,Tidak ada,Tidak ada,Ya,Lainnya,4
727,Trancam,Tidak ada,Tidak ada,Ya,Lainnya,4
728,Sambal Kemangi,Tidak ada,Tidak ada,Ya,Lainnya,4
729,Sambal Cibiuk,Tidak ada,Tidak ada,Ya,Lainnya,4
730,Sambal Goang,Tidak ada,Tidak ada,Ya,Lainnya,4
731,Nasi Tim Sayuran,Beras dan olahannya,Ayam dan daging,Ya,Lainnya,52
732,Tumis Lobak Putih,Lainnya,Lainnya,Ya,Goreng atau tumis,157
733,Tumis Rebung,Tidak ada,Tidak ada,Ya,Goreng atau tumis,5
734,Terong Goreng,Tidak ada,Tidak ada,Ya,Goreng atau tumis,5
735,Terong Balado,Tidak ada,Tidak ada,Ya,Goreng atau tumis,5
736,Tumis Pakis,Tidak ada,Tidak ada,Ya,Goreng atau tumis,5
737,Tumis Brokoli Kembang Kol,Tidak ada,Tidak ada,Ya,Goreng atau tumis,5
738,Tumis Cuciwis Saus Tiram,Tidak ada,Tidak ada,Ya,Goreng atau tumis,5
739,Sayur Pepaya Muda,Tidak ada,Tidak ada,Ya,Goreng atau tumis,5
740,Oseng Labu Siam,Tidak ada,Tidak ada,Ya,Goreng atau tumis,5
741,Sayur Rebung Santan,Tidak ada,Tidak ada,Ya,Goreng atau tumis,5
742,Tumis Genjer,Tidak ada,Tidak ada,Ya,Goreng atau tumis,5
743,Kangkung Saus Tiram,Tidak ada,Tidak ada,Ya,Goreng atau tumis,5
744,Tumis Pakcoy,Tidak ada,Tidak ada,Ya,Goreng atau tumis,5
745,Tumis Bunga Pepaya,Tidak ada,Tidak ada,Ya,Goreng atau tumis,5
746,Kangkung Belacan,Tidak ada,Tidak ada,Ya,Goreng atau tumis,5
747,Tumis Jantung Pisang,Tidak ada,Tidak ada,Ya,Goreng atau tumis,5
748,Tumis Pare,Tidak ada,Tidak ada,Ya,Goreng atau tumis,5
749,Tumis Bokcoy,Tidak ada,Tidak ada,Ya,Goreng atau tumis,5
750,Tumis Labu Siam,Tidak ada,Tidak ada,Ya,Goreng atau tumis,5
751,Tumis Baby Kailan,Tidak ada,Tidak ada,Ya,Goreng atau tumis,5
752,Tumis Kacang Panjang,Tidak ada,Tidak ada,Ya,Goreng atau tumis,5
753,Tumis Sawi Putih,Tidak ada,Tidak ada,Ya,Goreng atau tumis,5
754,Tumis Tauge,Tidak ada,Tidak ada,Ya,Goreng atau tumis,5
755,Tumis Kangkung,Tidak ada,Tidak ada,Ya,Goreng atau tumis,5
756,Sambal Terong,Tidak ada,Tidak ada,Ya,Goreng atau tumis,5
757,Sambal Pete,Tidak ada,Tidak ada,Ya,Goreng atau tumis,5
758,Rendang Jamur,Tidak ada,Lainnya,Tidak,Lainnya,32
759,Rujak Es Krim,Tidak ada,Lainnya,Tidak,Lainnya,32
760,Sambal Belut,Tidak ada,Lainnya,Tidak,Lainnya,32
761,Sambal Pecel,Tidak ada,Lainnya,Tidak,Lainnya,32
762,Sambal Petis,Tidak ada,Lainnya,Tidak,Lainnya,32
763,Sambal Kecap,Tidak ada,Lainnya,Tidak,Lainnya,32
764,Sandwich Buah,Tidak ada,Lainnya,Tidak,Lainnya,32
765,Cream Cheese,Tidak ada,Lainnya,Tidak,Lainnya,32
766,Keju Mozarella,Tidak ada,Lainnya,Tidak,Lainnya,32
767,Sayur Asem Jawa Timur,Tidak ada,Tidak ada,Ya,Rebus atau kukus,7
768,Sayur Bening Sawi,Tidak ada,Tidak ada,Ya,Rebus atau kukus,7
769,Sayur Asem Jakarta,Tidak ada,Tidak ada,Ya,Rebus atau kukus,7
770,Gulai Pakis,Tidak ada,Tidak ada,Ya,Rebus atau kukus,7
771,Semur Terong,Tidak ada,Tidak ada,Ya,Rebus atau kukus,7
772,Urap Bali,Tidak ada,Tidak ada,Ya,Rebus atau kukus,7
773,Urap Sayur,Tidak ada,Tidak ada,Ya,Rebus atau kukus,7
774,Plecing Kangkung,Tidak ada,Tidak ada,Ya,Rebus atau kukus,7
775,Sayur Nangka Kapau,Tidak ada,Tidak ada,Ya,Rebus atau kukus,7
776,Sayur Lodeh,Tidak ada,Tidak ada,Ya,Rebus atau kukus,7
777,Lodeh Terong Santan,Tidak ada,Tidak ada,Ya,Rebus atau kukus,7
778,Sayur Asem Jawa Tengah,Tidak ada,Tidak ada,Ya,Rebus atau kukus,7
779,Sayur Bobor Bayam,Tidak ada,Tidak ada,Ya,Rebus atau kukus,7
780,Pecel Sayur,Tidak ada,Tidak ada,Ya,Rebus atau kukus,7
781,Sayur Asem Sunda,Tidak ada,Tidak ada,Ya,Rebus atau kukus,7
782,Sayur Oyong Bening Soun,Tidak ada,Tidak ada,Ya,Rebus atau kukus,7
783,Sayur Bayam Bening,Tidak ada,Tidak ada,Ya,Rebus atau kukus,7
784,Gulai Daun Singkong,Tidak ada,Tidak ada,Ya,Rebus atau kukus,7
785,Sayur Katuk Kuah Santan,Tidak ada,Tidak ada,Ya,Rebus atau kukus,7
786,Ote Ote,"Tepung, Mie, dan Pasta",Tidak ada,Ya,Goreng atau tumis,85
787,Bakwan Dadar Jagung,"Tepung, Mie, dan Pasta",Tidak ada,Ya,Goreng atau tumis,85
788,Bakwan Sayur (Bala Bala),"Tepung, Mie, dan Pasta",Tidak ada,Ya,Goreng atau tumis,85
789,Kue Gabin Ragout,"Tepung, Mie, dan Pasta",Tidak ada,Ya,Goreng atau tumis,85
790,Lumpia Sayur Goreng,"Tepung, Mie, dan Pasta",Tidak ada,Ya,Goreng atau tumis,85
791,Keripik Bayam,"Tepung, Mie, dan Pasta",Tidak ada,Ya,Goreng atau tumis,85
792,Lontong Sayur Betawi,Beras dan olahannya,Tidak ada,Ya,Lainnya,44
793,Lontong Medan,Beras dan olahannya,Tidak ada,Ya,Lainnya,44
794,Brambang Asem,Lainnya,Tidak ada,Ya,Goreng atau tumis,125
795,Toge Goreng Bogor,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Ya,Lainnya,108
796,Rolade Tahu Daun Singkong,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Ya,Lainnya,108
797,Kangkung Tauco,Tidak ada,Lainnya,Ya,Goreng atau tumis,37
798,Tumis Jamur,Tidak ada,Lainnya,Ya,Goreng atau tumis,37
799,Tumis Capcay,Tidak ada,Lainnya,Ya,Goreng atau tumis,37
800,Tumis Oncom Leunca (Ulukutek Leunca),Tidak ada,Lainnya,Ya,Goreng atau tumis,37
801,Onion Rings,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis,81
802,Mie Lidi Goreng,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis,81
803,Bakwan Mie,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis,81
804,Kue Cincin,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis,81
805,Kue Keciput,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis,81
806,Onde-Onde Isi Kacang Hijau,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis,81
807,Getas,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis,81
808,Kue Cucur Gula Merah,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis,81
809,Roti Goreng Isi Cokelat,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis,81
810,Banana Roll,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis,81
811,Kacang Atom (Sukro) Homemade,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis,81
812,Pisang Goreng Madu,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis,81
813,Rempeyek Kacang Tanah,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis,81
814,Kacang Disco,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis,81
815,Kulit Pangsit,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis,81
816,Corndog,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis,81
817,Kembang Goyang,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis,81
818,Keripik Bawang,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis,81
819,Keripik Pisang,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis,81
820,Cireng Isi,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis,81
821,Pisang Goreng Kipas,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis,81
822,Cakwe,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis,81
823,Pisang Coklat Lumer (Piscok),"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis,81
824,Cimol,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis,81
825,Gemblong Ketan Hitam,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis,81
826,Gemblong Ketan Putih,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis,81
827,Nanas Goreng,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis,81
828,Gudeg Asli Jogja Komplit (Gudeg Kering),Tidak ada,Ayam dan daging,Ya,Lainnya,12
829,Mashed Potato,Lainnya,Tidak ada,Tidak,Rebus atau kukus,123
830,Sop Ubi,Lainnya,Tidak ada,Tidak,Rebus atau kukus,123
831,Sawut Singkong Gunung,Lainnya,Tidak ada,Tidak,Rebus atau kukus,123
832,Pisang Rai,Lainnya,Tidak ada,Tidak,Rebus atau kukus,123
833,Singkong Thailand,Lainnya,Tidak ada,Tidak,Rebus atau kukus,123
834,Getuk Lindri,Lainnya,Tidak ada,Tidak,Rebus atau kukus,123
835,Lemet Singkong,Lainnya,Tidak ada,Tidak,Rebus atau kukus,123
836,Lepet Jagung,Lainnya,Tidak ada,Tidak,Rebus atau kukus,123
837,Kue Talam Singkong Gula Merah,Lainnya,Tidak ada,Tidak,Rebus atau kukus,123
838,Getuk Pisang,Lainnya,Tidak ada,Tidak,Rebus atau kukus,123
839,Candil Ubi Ungu,Lainnya,Tidak ada,Tidak,Rebus atau kukus,123
840,Sekoteng,Lainnya,Tidak ada,Tidak,Rebus atau kukus,123
